context_small,context_large,word,prev,prev_fav,fol,fol_fav,count,frequency_ppm,freq_log_ppm,hapax,stress,fav_count,FFC,transmission,modern_spa,latin_stop
s sobre buen natural florescen: , costumbres sobre buen natural florescen: como el buen natural sea ,florescen,l,no,o,yes,1,14.61838701,2.68228012,yes,unstressed,0,0,oral,preservation,f
"or. CAL.--que hazes, llaue d","SEMP.--senor. CAL.--que hazes, llaue de mi vida? abre. O Parmen",llaue,",",no,a,yes,3,43.85516102,3.780892409,no,stressed,0,0,oral,palatalization,c
 de mi muerte. Deseo llegar a,esurrecion de mi muerte. Deseo llegar a ti. Cobdicio besar essas,llegar,o,yes,e,yes,15,219.2758051,5.390330322,no,unstressed,9,0.6,oral,palatalization,p
io besar essas manos llenas d,ti. Cobdicio besar essas manos llenas de remedio. la indignidad ,llenas,s,no,e,yes,1,14.61838701,2.68228012,yes,stressed,0,0,oral,palatalization,p
"ven comigo: trae las llaues, ","AL.--pues ven comigo: trae las llaues, que yo sanare su duda. SE",llaues,s,no,a,yes,2,29.23677401,3.375427301,no,stressed,0,0,oral,palatalization,c
 juzgues por eso por flaco: ,o: e no lo juzgues por eso por flaco: que el amor imperuio toda,flaco,r,no,a,yes,12,175.4206441,5.16718677,no,stressed,2,0.166666667,oral,preservation,f
o vegetatiuo algunas plantas h,as. E en lo vegetatiuo algunas plantas han este respeto: si sin i,plantas,s,no,a,yes,3,43.85516102,3.780892409,no,stressed,0,0,oral,preservation,p
itos en tal gestico: llegate a,"ezico, lobitos en tal gestico: llegate aca, putico, que no sabes ",llegate,:,no,e,yes,10,146.1838701,4.984865213,no,stressed,1,0.1,oral,palatalization,p
a mala me mate si te llego a,". Mas rauia mala me mate si te llego a mi, avnque vieja: que la",llego,e,yes,e,yes,6,87.71032204,4.47403959,no,stressed,4,0.666666667,oral,palatalization,p
"do sufrir: digolo, e lloro. "," no lo puedo sufrir: digolo, e lloro. CEL.--Parmeno: tu no vees",lloro,e,yes,o,yes,13,190.0390311,5.247229478,no,stressed,5,0.384615385,oral,palatalization,p
s necedad o simpleza llorar p,vees que es necedad o simpleza llorar por lo que con llorar no s,llorar,a,yes,o,yes,21,306.9861272,5.726802558,no,unstressed,13,0.619047619,oral,palatalization,p
or lo que con llorar n,a llorar por lo que con llorar no se puede remediar? PARM,llorar,a,yes,o,yes,21,306.9861272,5.726802558,no,unstressed,13,0.619047619,oral,palatalization,p
iar? PARM.--por esso lloro: ,uede remediar? PARM.--por esso lloro: que si con llorar fuesse ,lloro,o,yes,o,yes,13,190.0390311,5.247229478,no,stressed,5,0.384615385,oral,palatalization,p
que si con llorar f,so lloro: que si con llorar fuesse possible traer a mi,llorar,o,yes,o,yes,21,306.9861272,5.726802558,no,unstressed,13,0.619047619,oral,palatalization,p
 tan grande seria el plazer d,l remedio: tan grande seria el plazer de la tal esperanza: que d,plazer,l,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
ue de gozo no podria llorar. ,peranza: que de gozo no podria llorar. pero assi perdida ya la e,llorar,a,yes,o,yes,21,306.9861272,5.726802558,no,unstressed,13,0.619047619,oral,palatalization,p
 pierdo el alegria e lloro. ,esperanza: pierdo el alegria e lloro. CEL.--lloraras sin prouec,lloro,e,yes,o,yes,13,190.0390311,5.247229478,no,stressed,5,0.384615385,oral,palatalization,p
prouecho: por lo que llorando e,raras sin prouecho: por lo que llorando estoruar no podras: ni san,llorando,e,yes,o,yes,7,102.3287091,4.628190269,no,unstressed,3,0.428571429,oral,palatalization,p
ano es en mano desta flaca v,oder ser sano es en mano desta flaca vieja. PARM.--mas desta fl,flaca,a,yes,a,yes,13,190.0390311,5.247229478,no,stressed,5,0.384615385,oral,preservation,f
ja. PARM.--mas desta flaca p, flaca vieja. PARM.--mas desta flaca puta vieja. CEL.--putos di,flaca,a,yes,a,yes,13,190.0390311,5.247229478,no,stressed,5,0.384615385,oral,preservation,f
" avnque a vn fin soy llamada, ","ucha; que, avnque a vn fin soy llamada, a otro so venida: e mague",llamada,y,no,a,yes,5,73.09193504,4.291718033,no,unstressed,4,0.8,oral,palatalization,c
a tal copia de oro e plata q,o encerrada tal copia de oro e plata que basta mas que la renta,plata,e,yes,a,yes,2,29.23677401,3.375427301,no,stressed,2,1,oral,preservation,p
: hasta agora que ha plazido a,e quantias: hasta agora que ha plazido aquel que todos los cuydad,plazido,a,yes,a,yes,3,43.85516102,3.780892409,no,unstressed,3,1,oral,preservation,p
manjares. e nunca la llaga v,on de los manjares. e nunca la llaga viene a cicatrizar: en la ,llaga,a,yes,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
an. ni conualesce la planta q,s se tientan. ni conualesce la planta que muchas vezes es traspu,planta,a,yes,a,yes,5,73.09193504,4.291718033,no,stressed,1,0.2,oral,preservation,p
"n prouechosa, que en llegando a","ay cosa tan prouechosa, que en llegando aproueche: por tanto, mi h",llegando,n,no,e,yes,2,29.23677401,3.375427301,no,unstressed,0,0,oral,palatalization,p
stancia. no viuas en flores. , ellos constancia. no viuas en flores. dexa los vanos prometimie,flores,n,no,o,yes,6,87.71032204,4.47403959,no,stressed,1,0.166666667,oral,preservation,f
 para todo linaje de plazer: ,dispuestos para todo linaje de plazer: en que mas los mozos que ,plazer,e,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
as voluntades de los flacos: , e tomar las voluntades de los flacos: e con poluos de sabroso a,flacos,s,no,a,yes,5,73.09193504,4.291718033,no,stressed,1,0.2,oral,preservation,f
E los ancianos somos llamados p,s viejos. E los ancianos somos llamados padres. E los buenos padre,llamados,s,no,a,yes,3,43.85516102,3.780892409,no,unstressed,0,0,oral,palatalization,c
 fijos de dios seran llamados. ,ficos: que fijos de dios seran llamados. Amor no se deue rehuyr: c,llamados,n,no,a,yes,3,43.85516102,3.780892409,no,unstressed,0,0,oral,palatalization,c
gun el deseo de como llego v,"auilla, segun el deseo de como llego viuo: recibe la dadiua pob",llego,o,yes,e,yes,6,87.71032204,4.47403959,no,stressed,4,0.666666667,oral,palatalization,p
na luz nunca te hara claro s,que la agena luz nunca te hara claro si la propia no tienes. E ,claro,a,yes,a,yes,23,336.2229012,5.817774336,no,stressed,9,0.391304348,oral,preservation,c
 no te estimes en la claridad d," por tanto no te estimes en la claridad de tu padre, que tan magni",claridad,a,yes,a,yes,7,102.3287091,4.628190269,no,unstressed,4,0.571428571,oral,preservation,c
ana quien te allegue plazeres: ,o te acompana quien te allegue plazeres: diga donayres: tanga canc,plazeres,e,yes,a,yes,8,116.9470961,4.761721662,no,unstressed,3,0.375,oral,preservation,p
s que aliuia la pena llorar l,"e, no sabes que aliuia la pena llorar la causa? quanto es dulce ",llorar,a,yes,o,yes,21,306.9861272,5.726802558,no,unstressed,13,0.619047619,oral,palatalization,p
 sientes mi soledad: llama a,"pues tanto sientes mi soledad: llama a Parmeno, quedara comigo:",llama,:,no,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,c
cinco. PARM.--ya las lloras: ,ue a otra cinco. PARM.--ya las lloras: duelos tenemos: en casa s,lloras,s,no,o,yes,4,58.47354803,4.068574482,no,stressed,2,0.5,oral,palatalization,p
ias aquella ardiente llaga q,gua rociarias aquella ardiente llaga que la cruel frecha de Cup,llaga,e,yes,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
e que esta mi pena e flutuoso d,. pues sabe que esta mi pena e flutuoso dolor no se rige por razon,flutuoso,e,yes,u,no,1,14.61838701,2.68228012,yes,unstressed,1,1,written,preservation,f
"anado. PARM.--senor, flaca e"," mal acompanado. PARM.--senor, flaca es la fidelidad que temor ",flaca,",",no,a,yes,13,190.0390311,5.247229478,no,stressed,5,0.384615385,oral,preservation,f
 amor / encienden tu llama /, abiuan tu amor / encienden tu llama / anaden astillas: que ten,llama,u,no,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,f
pues a los traydores llaman d,la gente. pues a los traydores llaman discretos / a los fieles n,llaman,s,no,a,yes,16,233.8941921,5.454868843,no,stressed,9,0.5625,oral,palatalization,c
comportable: ninguna llaga t,"e: e faga comportable: ninguna llaga tanto se sintio, que por l",llaga,a,yes,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
xase su tormento: ni plazer t,po no afloxase su tormento: ni plazer tan alegre fue que no le a,plazer,i,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
os solazes: nuestros plazeres: ,mos nuestros solazes: nuestros plazeres: nuestros consejos e conci,plazeres,s,no,a,yes,8,116.9470961,4.761721662,no,unstressed,3,0.375,oral,preservation,p
o pensaua que no era llegada: ,ria. quando pensaua que no era llegada: era de buelta. Alla la co,llegada,a,yes,e,yes,5,73.09193504,4.291718033,no,unstressed,2,0.4,oral,palatalization,p
mo sobre vna taza de plata s, vezes: como sobre vna taza de plata su palabra era prenda de o,plata,e,yes,a,yes,2,29.23677401,3.375427301,no,stressed,2,1,oral,preservation,p
 tu amo quedasse sin pluma: , cargo que tu amo quedasse sin pluma: e nosotros sin quexa: per,pluma,n,no,u,no,13,190.0390311,5.247229478,no,stressed,2,0.153846154,oral,preservation,p
"s esta, si a dios ha plazido, ","ibea: no es esta, si a dios ha plazido, la primera a quien yo he ",plazido,a,yes,a,yes,3,43.85516102,3.780892409,no,unstressed,3,1,oral,preservation,p
es salir el alma: su claridad l," quiereseles salir el alma: su claridad les escuresce el corazon.""",claridad,u,no,a,yes,7,102.3287091,4.628190269,no,unstressed,4,0.571428571,oral,preservation,c
or lana e vengas sin pluma. ,"no vayas por lana e vengas sin pluma. CEL.--sin pluma, fijo? SE",pluma,n,no,u,no,13,190.0390311,5.247229478,no,stressed,2,0.153846154,oral,preservation,p
"CEL.--sin pluma, ","in pluma. CEL.--sin pluma, fijo? SEMP.--o emplumada,",pluma,n,no,u,no,13,190.0390311,5.247229478,no,stressed,2,0.153846154,oral,preservation,p
"a otra noche, quando llouia e","el campo la otra noche, quando llouia e hazia escuro: e abre el ",llouia,o,yes,o,yes,1,14.61838701,2.68228012,yes,stressed,1,1,oral,palatalization,p
"ina, tu mas conocida clientula: ","Yo, Celestina, tu mas conocida clientula: te conjuro por la virtud ",clientula,a,yes,i,no,1,14.61838701,2.68228012,yes,unstressed,1,1,written,preservation,c
"consigo misma, fasta llegar a","ino habla consigo misma, fasta llegar a la puerta de Pleberio, o",llegar,a,yes,e,yes,15,219.2758051,5.390330322,no,unstressed,9,0.6,oral,palatalization,p
Viene vn mensajero a llamar a, en casa. Viene vn mensajero a llamar a Alisa. vase. queda Celes,llamar,a,yes,a,yes,18,263.1309661,5.572651878,no,unstressed,6,0.333333333,oral,palatalization,c
e topado: a los tres llaman J,bres que he topado: a los tres llaman Juanes: y los dos son corn,llaman,s,no,a,yes,16,233.8941921,5.454868843,no,stressed,9,0.5625,oral,palatalization,c
os. e avn algunos la llaman l,. cura ninos. e avn algunos la llaman la vieja lapidaria. ALI.--,llaman,a,yes,a,yes,16,233.8941921,5.454868843,no,stressed,9,0.5625,oral,palatalization,c
" que viene su paje a llamarme, "," e tambien que viene su paje a llamarme, que se le arrezio desde v",llamarme,a,yes,a,yes,2,29.23677401,3.375427301,no,unstressed,2,1,oral,palatalization,c
 su noble juuentud e florida m,dexe gozar su noble juuentud e florida mocedad: que es el tiempo ,florida,e,yes,o,yes,2,29.23677401,3.375427301,no,unstressed,2,1,oral,preservation,f
el tiempo en que mas plazeres e,d: que es el tiempo en que mas plazeres e mayores deleytes se alca,plazeres,s,no,a,yes,8,116.9470961,4.761721662,no,unstressed,3,0.375,oral,preservation,p
s: congoxa continua: llaga i,e renzillas: congoxa continua: llaga incurable. manzilla de lo ,llaga,:,no,a,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
hoza sin rama que se llueue p, muerte. choza sin rama que se llueue por cada parte. cayado de ,llueue,e,yes,u,no,1,14.61838701,2.68228012,yes,stressed,1,1,oral,palatalization,p
rto trabajo. dessean llegar a,dessean harto trabajo. dessean llegar alla porque llegando viuen,llegar,n,no,e,yes,15,219.2758051,5.390330322,no,unstressed,9,0.6,oral,palatalization,p
lla porque llegando v,n llegar alla porque llegando viuen: e el viuir es dulce,llegando,n,no,e,yes,2,29.23677401,3.375427301,no,unstressed,0,0,oral,palatalization,p
cer de fuerza. aquel flaco a,aquel carecer de fuerza. aquel flaco andar. aquel espacioso com,flaco,l,no,a,yes,12,175.4206441,5.16718677,no,stressed,2,0.166666667,oral,preservation,f
e / a todos quita el plazer e,o la muerte / a todos quita el plazer e a las buenas costumbres:,plazer,l,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
: tambien hasme dado plazer c,conoscerte: tambien hasme dado plazer con tus razones: toma tu d,plazer,o,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
ro en mi casa: e vno lleno e,aua vn cuero en mi casa: e vno lleno e otro vazio: jamas me aco,lleno,o,yes,e,yes,8,116.9470961,4.761721662,no,stressed,4,0.5,oral,palatalization,p
: que no participe e llame l,gallo come: que no participe e llame las gallinas a comer dello,llame,e,yes,a,yes,6,87.71032204,4.47403959,no,stressed,4,0.666666667,oral,palatalization,c
o: gentil hombre: de clara s,ero mancebo: gentil hombre: de clara sangre: que llaman Calisto,clara,e,yes,a,yes,20,292.3677401,5.678012394,no,stressed,3,0.15,oral,preservation,c
angre: que llaman C,de clara sangre: que llaman Calisto? MELIB.--ya ya ya.,llaman,e,yes,a,yes,16,233.8941921,5.454868843,no,stressed,9,0.5625,oral,palatalization,c
alor? poco lo puedes llamar: ,"B.--poco calor? poco lo puedes llamar: pues quedaste tu viua, e ",llamar,s,no,a,yes,18,263.1309661,5.572651878,no,unstressed,6,0.333333333,oral,palatalization,c
erza sino contra los flacos a,stra su fuerza sino contra los flacos animales. No paguen justos,flacos,s,no,a,yes,5,73.09193504,4.291718033,no,stressed,1,0.2,oral,preservation,f
 que ha vn ano en su flaqueza. ,que parece que ha vn ano en su flaqueza. E el mayor remedio que ti,flaqueza,u,no,a,yes,1,14.61838701,2.68228012,yes,unstressed,0,0,oral,preservation,f
misma entre dientes. llegada a,"o consigo misma entre dientes. llegada a su casa, hallo a Sempron",llegada,.,no,e,yes,5,73.09193504,4.291718033,no,unstressed,2,0.4,oral,palatalization,p
s van hablando hasta llegar a,daua. Ambos van hablando hasta llegar a casa de Calisto. e visto,llegar,a,yes,e,yes,15,219.2758051,5.390330322,no,unstressed,9,0.6,oral,palatalization,p
como me estoruays de llegar a,"e largas, como me estoruays de llegar adonde han de reposar mis ",llegar,e,yes,e,yes,15,219.2758051,5.390330322,no,unstressed,9,0.6,oral,palatalization,p
njera vieja. o vieja llena d,P.--o lisonjera vieja. o vieja llena de mal. o cobdiciosa e aua,llena,a,yes,e,yes,11,160.8022571,5.080175393,no,stressed,7,0.636363636,oral,palatalization,p
acelerados e supitos plazeres c,: que los acelerados e supitos plazeres crian alteracion: la mucha,plazeres,s,no,a,yes,8,116.9470961,4.761721662,no,unstressed,3,0.375,oral,preservation,p
xan. CAL.--e a essas llamas s,o los aquexan. CAL.--e a essas llamas senales de salud: pues qua,llamas,s,no,a,yes,8,116.9470961,4.761721662,no,stressed,3,0.375,oral,palatalization,c
nosotros: para poder llorar a,r huyr de nosotros: para poder llorar a su plazer con Celestina ,llorar,r,no,o,yes,21,306.9861272,5.726802558,no,unstressed,13,0.619047619,oral,palatalization,p
 su plazer c,r llorar a su plazer con Celestina de gozo: y p,plazer,r,no,o,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
 estado si a dios ha plazido e,ynta de su estado si a dios ha plazido en este mundo: e algunas m,plazido,a,yes,a,yes,3,43.85516102,3.780892409,no,unstressed,3,1,oral,preservation,p
 su madre de Melibea llamada p,"ilado, fue su madre de Melibea llamada para que fuesse a visitar ",llamada,a,yes,a,yes,5,73.09193504,4.291718033,no,unstressed,4,0.8,oral,palatalization,c
 calleys; morires de plazer c," amor, que calleys; morires de plazer con esta senora, segun su ",plazer,e,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
